,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
335,42,80,How many years of experience do you have preparing statistical analysis?,4+ years
1895,237,90,Are you legally able to work in Canada?,Yes
5560,696,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
2859,358,70,Are you comfortable with statistical analysis?,Yes
1508,189,80,Are you comfortable with statistical analysis?,Yes
2119,265,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
6168,772,90,Are you comfortable with statistical analysis?,Yes
1598,200,100,Please indicate the required salary you are seeking for this position.,90000
5452,682,100,How many years of experience do you have preparing statistical analysis?,4+ years
976,123,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
1806,226,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
5948,744,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2552,320,80,Are you comfortable with statistical analysis?,Yes
2043,256,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
6000,750,100,How many years of experience do you have preparing statistical analysis?,4+ years
5584,699,100,Please indicate the required salary you are seeking for this position.,95000
2934,367,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1829,229,40,Please indicate the required salary you are seeking for this position.,90000
521,66,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2832,355,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
3157,395,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
352,45,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
455,57,80,How many years of experience do you have preparing statistical analysis?,4+ years
2021,253,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2998,374,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
3311,414,100,How many years of experience do you have working with SQL?,4+ years
386,49,90,Please indicate the required salary you are seeking for this position.,85000
4863,608,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
3413,427,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
3460,433,100,How many years of experience do you have working with SQL?,4+ years
1882,236,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
2421,303,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
3754,470,100,How many years of experience do you have working with SQL?,4+ years
696,88,90,Are you comfortable with statistical analysis?,Yes
5383,673,20,Please indicate the required salary you are seeking for this position.,$65000
4733,592,100,Are you comfortable with statistical analysis?,Yes
5779,723,80,How many years of experience do you have working with SQL?,2 to 3 years
2402,301,90,Please indicate the required salary you are seeking for this position.,$80000
4483,561,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2847,356,100,Are you legally able to work in Canada?,Yes
3549,444,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
6055,757,85,Are you comfortable with statistical analysis?,Yes
4515,565,100,Are you comfortable with statistical analysis?,Yes
6125,766,70,Are you legally able to work in Canada?,Yes
2512,315,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
582,73,90,Are you comfortable with statistical analysis?,Yes
5287,661,60,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1064,134,90,Are you comfortable with statistical analysis?,Yes
1143,143,40,Are you comfortable with statistical analysis?,No
257,33,70,Are you legally able to work in Canada?,Yes
2123,266,80,Are you legally able to work in Canada?,Yes
654,82,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2305,289,70,Please indicate the required salary you are seeking for this position.,65000
2435,305,100,Are you legally able to work in Canada?,Yes
2086,261,70,How many years of experience do you have working with SQL?,2 to 3 years
2204,276,80,Are you legally able to work in Canada?,Yes
3007,376,90,Please indicate the required salary you are seeking for this position.,85000
2149,269,100,How many years of experience do you have working with SQL?,4+ years
3901,488,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
6243,781,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
5128,642,95,Please indicate the required salary you are seeking for this position.,75000
3943,493,90,Please indicate the required salary you are seeking for this position.,85000
2922,366,80,How many years of experience do you have working with SQL?,4+ years
1778,223,60,How many years of experience do you have working with SQL?,2 to 3 years
3356,420,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
4197,525,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
786,99,100,How many years of experience do you have preparing statistical analysis?,4+ years
966,121,90,How many years of experience do you have working with SQL?,4+ years
6317,790,50,Are you comfortable with statistical analysis?,Yes
379,48,90,Are you legally able to work in Canada?,Yes
1011,127,100,Please indicate the required salary you are seeking for this position.,110000
2942,368,90,Are you comfortable with statistical analysis?,Yes
2562,321,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
4019,503,100,Please indicate the required salary you are seeking for this position.,70000
1326,166,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
9,2,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1874,235,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
3768,472,80,Please indicate the required salary you are seeking for this position.,"65,000-85,000 CAD Annually"
2064,259,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1795,225,95,What is your self-determined level of expertise in Microsoft Excel?,Expert
2972,372,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
459,58,50,How many years of experience do you have working with SQL?,0 to 1 year
3917,490,70,How many years of experience do you have working with SQL?,2 to 3 years
4788,599,100,How many years of experience do you have preparing statistical analysis?,4+ years
2638,330,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
3366,421,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1659,208,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
4742,593,75,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1030,128,90,How many years of experience do you have working with SQL?,4+ years
4792,600,70,Please indicate the required salary you are seeking for this position.,"70,000 - 90,000"
3230,404,100,How many years of experience do you have working with SQL?,4+ years
5490,687,80,Please indicate the required salary you are seeking for this position.,70000
25,4,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1857,233,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
3835,480,70,Are you comfortable with statistical analysis?,Yes
1966,246,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
4410,552,55,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
5438,680,90,Are you comfortable with statistical analysis?,Yes
3117,390,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1632,205,90,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
2410,302,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1525,191,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
3411,427,100,How many years of experience do you have working with SQL?,4+ years
2032,255,70,Are you comfortable with statistical analysis?,Yes
5981,748,100,How many years of experience do you have preparing statistical analysis?,4+ years
3364,421,60,Are you legally able to work in Canada?,Yes
2209,277,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1637,205,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
2361,296,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
3185,399,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
6009,752,80,Are you legally able to work in Canada?,Yes
5005,626,60,Please indicate the required salary you are seeking for this position.,"57,000 - 65,000"
1792,225,95,Are you legally able to work in Canada?,Yes
1033,130,90,Are you legally able to work in Canada?,Yes
4048,507,80,Are you comfortable with statistical analysis?,Yes
5378,673,20,How many years of experience do you have working with SQL?,0 to 1 year
3797,475,100,How many years of experience do you have working with SQL?,4+ years
5604,701,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
5865,734,100,How many years of experience do you have working with SQL?,4+ years
1136,143,40,Please indicate the required salary you are seeking for this position.,$75000-$80000 CAD
2253,282,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
2695,337,80,How many years of experience do you have working with SQL?,2 to 3 years
2862,358,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
3204,401,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1544,194,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
5153,645,80,Are you legally able to work in Canada?,Yes
652,82,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
872,110,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
4338,543,90,Are you legally able to work in Canada?,Yes
5966,746,100,Are you legally able to work in Canada?,Yes
422,53,100,Are you comfortable with statistical analysis?,Yes
1074,135,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
3795,475,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
3862,483,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
4301,538,100,Are you comfortable with statistical analysis?,Yes
1376,173,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
4103,513,90,How many years of experience do you have preparing statistical analysis?,4+ years
2344,294,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
5664,709,80,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
847,106,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
6233,780,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
5702,713,50,Are you legally able to work in Canada?,Yes
4026,504,70,Are you legally able to work in Canada?,No
1910,239,100,Are you legally able to work in Canada?,Yes
5235,655,90,Are you comfortable with statistical analysis?,Yes
238,30,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
4232,530,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
4814,602,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
5887,736,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
2971,372,80,Are you comfortable with statistical analysis?,Yes
1568,197,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
3027,379,100,How many years of experience do you have preparing statistical analysis?,4+ years
778,98,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
6319,790,50,How many years of experience do you have working with SQL?,0 to 1 year
2102,263,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
474,60,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
638,80,60,Please indicate the required salary you are seeking for this position.,70000
5666,709,80,How many years of experience do you have working with SQL?,4+ years
4109,514,80,Please indicate the required salary you are seeking for this position.,80000
1156,145,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1569,197,90,Are you legally able to work in Canada?,Yes
273,35,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1682,211,80,Are you legally able to work in Canada?,Yes
803,101,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
3221,403,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
889,112,40,Are you legally able to work in Canada?,Yes
68,9,50,Are you comfortable with statistical analysis?,Yes
1684,211,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
3586,449,100,Are you legally able to work in Canada?,Yes
454,57,80,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
5463,683,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
391,49,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
660,83,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
5114,640,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
833,105,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
3344,419,100,Are you comfortable with statistical analysis?,Yes
165,21,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
5217,653,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2351,294,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
5088,637,70,Please indicate the required salary you are seeking for this position.,70000
1282,161,80,How many years of experience do you have working with SQL?,4+ years
1971,247,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
5027,629,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2904,364,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
4572,572,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
4876,610,80,Please indicate the required salary you are seeking for this position.,110000
269,34,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",No
343,43,60,How many years of experience do you have working with SQL?,2 to 3 years
741,93,80,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
6307,789,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
3003,376,90,How many years of experience do you have preparing statistical analysis?,4+ years
415,52,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
5414,677,100,Are you comfortable with statistical analysis?,Yes
5747,719,60,Please indicate the required salary you are seeking for this position.,"$65,000-75,000"
5881,736,80,Please indicate the required salary you are seeking for this position.,75000
1641,206,80,Are you comfortable with statistical analysis?,Yes
3446,431,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
4984,624,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1450,182,100,Are you legally able to work in Canada?,Yes
1402,176,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
982,123,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
4274,535,70,Please indicate the required salary you are seeking for this position.,75000
1253,157,70,Are you comfortable with statistical analysis?,Yes
3032,380,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1645,206,80,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
2107,264,80,Are you comfortable with statistical analysis?,Yes
4472,560,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
960,121,90,Are you legally able to work in Canada?,Yes
1015,127,100,Are you comfortable with statistical analysis?,Yes
3414,427,100,How many years of experience do you have preparing statistical analysis?,4+ years
3123,391,80,How many years of experience do you have working with SQL?,2 to 3 years
296,38,90,Are you legally able to work in Canada?,Yes
5202,651,70,How many years of experience do you have working with SQL?,2 to 3 years
5276,660,100,How many years of experience do you have working with SQL?,4+ years
4964,621,80,Are you legally able to work in Canada?,Yes
1375,172,80,Are you comfortable with statistical analysis?,Yes
5949,744,70,How many years of experience do you have working with SQL?,0 to 1 year
5487,686,70,Are you comfortable with statistical analysis?,Yes
2343,293,90,How many years of experience do you have working with SQL?,4+ years
2886,361,55,Are you legally able to work in Canada?,No
5825,729,60,How many years of experience do you have working with SQL?,0 to 1 year
5551,694,80,Are you comfortable with statistical analysis?,Yes
3,1,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
499,63,90,Are you legally able to work in Canada?,Yes
3484,436,70,Please indicate the required salary you are seeking for this position.,60000
5073,635,100,Are you legally able to work in Canada?,Yes
3296,413,70,How many years of experience do you have working with SQL?,2 to 3 years
1526,191,50,Please indicate the required salary you are seeking for this position.,85000
2938,368,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
4684,586,70,Are you comfortable with statistical analysis?,Yes
2503,313,100,Are you comfortable with statistical analysis?,Yes
3241,406,60,Please indicate the required salary you are seeking for this position.,75000
6076,760,80,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
3804,476,70,How many years of experience do you have working with SQL?,4+ years
4426,554,100,How many years of experience do you have working with SQL?,4+ years
579,73,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
281,36,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
3188,399,100,How many years of experience do you have preparing statistical analysis?,4+ years
3438,430,100,Are you comfortable with statistical analysis?,Yes
4587,574,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1294,162,90,Please indicate the required salary you are seeking for this position.,"70,000-100,000"
2893,362,65,Are you legally able to work in Canada?,Yes
3595,450,100,How many years of experience do you have preparing statistical analysis?,4+ years
258,33,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
27,4,100,Are you legally able to work in Canada?,Yes
490,62,90,Are you legally able to work in Canada?,Yes
16,3,100,Are you legally able to work in Canada?,Yes
3192,400,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1701,213,70,How many years of experience do you have working with SQL?,2 to 3 years
3632,455,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
5391,674,50,Are you legally able to work in Canada?,Yes
4296,538,100,Are you legally able to work in Canada?,Yes
595,75,90,How many years of experience do you have working with SQL?,4+ years
4916,615,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1264,159,90,Please indicate the required salary you are seeking for this position.,95000
6031,754,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
5085,636,100,How many years of experience do you have working with SQL?,4+ years
6109,764,100,How many years of experience do you have working with SQL?,4+ years
218,28,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
5535,692,70,Are you comfortable with statistical analysis?,Yes
2976,373,55,Please indicate the required salary you are seeking for this position.,100000
5909,739,90,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
5767,721,90,Please indicate the required salary you are seeking for this position.,80000
4602,576,80,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1578,198,100,How many years of experience do you have working with SQL?,4+ years
6304,789,80,How many years of experience do you have working with SQL?,2 to 3 years
356,45,60,Please indicate the required salary you are seeking for this position.,60000
