,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
102,127,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1012,32,90,Please indicate the required salary you are seeking for this position.,85000
1081,98,100,How many years of experience do you have preparing statistical analysis?,4+ years
281,4,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
808,86,100,Are you comfortable with statistical analysis?,Yes
337,101,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
31,18,90,Please indicate the required salary you are seeking for this position.,80000
361,12,70,Are you legally able to work in Canada?,Yes
391,119,75,Are you legally able to work in Canada?,No
604,107,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
625,77,90,How many years of experience do you have preparing statistical analysis?,4+ years
1045,27,100,Are you comfortable with statistical analysis?,Yes
1088,27,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
737,43,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
540,137,90,How many years of experience do you have working with SQL?,4+ years
419,39,60,Are you comfortable with statistical analysis?,Yes
621,50,80,Please indicate the required salary you are seeking for this position.,"60,000 CAD"
718,66,90,How many years of experience do you have working with SQL?,4+ years
922,102,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1055,32,90,Are you legally able to work in Canada?,Yes
152,87,90,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
581,123,80,Please indicate the required salary you are seeking for this position.,As per company's policy
350,26,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
840,27,100,Please indicate the required salary you are seeking for this position.,80000
635,89,60,Are you comfortable with statistical analysis?,No
316,119,75,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
144,124,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
94,4,100,Are you comfortable with statistical analysis?,Yes
910,57,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
343,106,75,Please indicate the required salary you are seeking for this position.,As per Standards
168,9,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
398,11,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
146,134,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
300,69,80,Are you legally able to work in Canada?,Yes
333,38,80,Please indicate the required salary you are seeking for this position.,75000
533,54,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
643,74,90,Are you comfortable with statistical analysis?,Yes
707,5,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
471,37,80,Please indicate the required salary you are seeking for this position.,"75,000-85,000"
23,14,60,Please indicate the required salary you are seeking for this position.,50000 - 60000 Annually
246,120,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
543,33,90,Are you comfortable with statistical analysis?,Yes
551,30,90,Please indicate the required salary you are seeking for this position.,75k
284,2,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
189,82,50,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
97,9,100,How many years of experience do you have preparing statistical analysis?,4+ years
218,26,80,Are you comfortable with statistical analysis?,Yes
104,16,70,How many years of experience do you have working with SQL?,4+ years
274,69,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
527,105,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
863,103,90,Are you legally able to work in Canada?,Yes
1087,21,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
180,16,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
870,98,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1068,57,100,How many years of experience do you have preparing statistical analysis?,4+ years
420,106,75,How many years of experience do you have working with SQL?,4+ years
434,120,50,Are you legally able to work in Canada?,Yes
508,127,60,Please indicate the required salary you are seeking for this position.,75000
203,101,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
824,7,60,Are you legally able to work in Canada?,Yes
874,113,100,How many years of experience do you have working with SQL?,4+ years
513,122,40,How many years of experience do you have preparing statistical analysis?,0 to 1 year
483,38,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
397,106,75,Are you comfortable with statistical analysis?,Yes
687,94,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
174,128,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
217,127,60,How many years of experience do you have preparing statistical analysis?,2 to 3 years
946,111,80,Are you legally able to work in Canada?,Yes
680,20,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
183,39,60,Please indicate the required salary you are seeking for this position.,$55000
681,47,90,Are you legally able to work in Canada?,Yes
403,121,80,Are you comfortable with statistical analysis?,Yes
375,54,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
623,23,60,Are you legally able to work in Canada?,Yes
5,15,90,How many years of experience do you have working with SQL?,4+ years
630,47,90,How many years of experience do you have working with SQL?,4+ years
903,96,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
415,131,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
988,31,80,How many years of experience do you have working with SQL?,4+ years
1010,63,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1020,113,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1022,63,100,Are you legally able to work in Canada?,Yes
299,51,100,Are you comfortable with statistical analysis?,Yes
359,30,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
897,61,70,Are you legally able to work in Canada?,Yes
525,99,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
849,63,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
708,23,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
959,72,100,Are you comfortable with statistical analysis?,Yes
941,61,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
143,25,80,Are you comfortable with statistical analysis?,Yes
208,135,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
597,22,80,How many years of experience do you have working with SQL?,4+ years
314,133,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
47,2,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
514,82,50,How many years of experience do you have working with SQL?,0 to 1 year
633,42,100,How many years of experience do you have working with SQL?,4+ years
967,72,100,Please indicate the required salary you are seeking for this position.,85000
148,130,80,Please indicate the required salary you are seeking for this position.,75000
310,76,80,Are you legally able to work in Canada?,Yes
738,47,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
33,48,90,Please indicate the required salary you are seeking for this position.,"55,000 minimum"
769,70,90,Please indicate the required salary you are seeking for this position.,85000
406,28,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
27,48,90,Are you comfortable with statistical analysis?,Yes
142,60,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
729,42,100,How many years of experience do you have preparing statistical analysis?,4+ years
494,22,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
449,105,80,How many years of experience do you have working with SQL?,2 to 3 years
576,25,80,Please indicate the required salary you are seeking for this position.,55000
346,106,75,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
211,108,90,Are you legally able to work in Canada?,Yes
332,108,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
476,133,50,Please indicate the required salary you are seeking for this position.,90000
765,35,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
886,6,30,What is your self-determined level of expertise in Microsoft Excel?,Novice
1028,117,70,Are you legally able to work in Canada?,Yes
44,30,90,How many years of experience do you have preparing statistical analysis?,4+ years
796,71,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
488,132,70,Please indicate the required salary you are seeking for this position.,As per industry
842,53,100,Are you comfortable with statistical analysis?,Yes
979,35,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
401,36,90,Are you legally able to work in Canada?,Yes
364,29,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
588,30,90,How many years of experience do you have working with SQL?,2 to 3 years
841,84,80,Are you comfortable with statistical analysis?,Yes
1094,10,70,How many years of experience do you have working with SQL?,4+ years
111,24,100,Please indicate the required salary you are seeking for this position.,200000-250000
326,36,90,How many years of experience do you have preparing statistical analysis?,4+ years
1035,31,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
819,62,70,Are you comfortable with statistical analysis?,Yes
929,57,100,Please indicate the required salary you are seeking for this position.,"75,000"
801,70,90,Are you legally able to work in Canada?,Yes
778,112,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
515,125,100,How many years of experience do you have preparing statistical analysis?,4+ years
715,7,60,Are you comfortable with statistical analysis?,Yes
312,87,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1066,6,30,Are you legally able to work in Canada?,Yes
856,81,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
937,44,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
275,123,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
166,137,90,Are you comfortable with statistical analysis?,Yes
461,45,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
782,86,100,How many years of experience do you have preparing statistical analysis?,4+ years
1030,81,100,Are you legally able to work in Canada?,Yes
197,128,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
302,97,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
395,33,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
440,45,100,How many years of experience do you have working with SQL?,4+ years
613,7,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
134,4,100,How many years of experience do you have working with SQL?,4+ years
516,82,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
816,116,100,Please indicate the required salary you are seeking for this position.,85000
16,14,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
396,104,50,Are you legally able to work in Canada?,Yes
124,127,60,How many years of experience do you have working with SQL?,0 to 1 year
902,116,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
880,103,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
133,136,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
644,107,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
887,80,100,Please indicate the required salary you are seeking for this position.,100k
618,35,90,Are you legally able to work in Canada?,Yes
110,24,100,Are you legally able to work in Canada?,Yes
353,123,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
568,106,75,Are you legally able to work in Canada?,No
1001,96,100,Are you legally able to work in Canada?,Yes
639,32,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
972,117,70,How many years of experience do you have working with SQL?,0 to 1 year
8,18,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
55,37,80,Are you legally able to work in Canada?,Yes
1060,114,90,Are you comfortable with statistical analysis?,Yes
584,76,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
638,41,100,Are you comfortable with statistical analysis?,Yes
36,14,60,How many years of experience do you have preparing statistical analysis?,2 to 3 years
163,109,70,How many years of experience do you have working with SQL?,2 to 3 years
641,72,100,How many years of experience do you have working with SQL?,4+ years
1036,52,50,Are you comfortable with statistical analysis?,Yes
400,91,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
251,130,80,How many years of experience do you have working with SQL?,2 to 3 years
265,38,80,Are you legally able to work in Canada?,Yes
518,104,50,Please indicate the required salary you are seeking for this position.,70000
755,42,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
873,50,80,Are you legally able to work in Canada?,Yes
1050,96,100,How many years of experience do you have working with SQL?,4+ years
12,90,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
942,86,100,How many years of experience do you have working with SQL?,4+ years
936,6,30,Please indicate the required salary you are seeking for this position.,65000
467,92,100,How many years of experience do you have preparing statistical analysis?,4+ years
907,50,80,How many years of experience do you have working with SQL?,2 to 3 years
1092,32,90,How many years of experience do you have working with SQL?,4+ years
225,28,80,Please indicate the required salary you are seeking for this position.,65000
366,87,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
605,53,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
278,4,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1016,47,90,Please indicate the required salary you are seeking for this position.,55000
668,88,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
42,97,60,Are you comfortable with statistical analysis?,No
18,90,100,How many years of experience do you have working with SQL?,4+ years
441,91,100,How many years of experience do you have working with SQL?,4+ years
871,43,100,Please indicate the required salary you are seeking for this position.,65000
19,14,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",No
119,4,100,Are you legally able to work in Canada?,Yes
821,71,60,How many years of experience do you have working with SQL?,2 to 3 years
647,53,100,How many years of experience do you have preparing statistical analysis?,4+ years
305,78,80,Are you legally able to work in Canada?,Yes
751,114,90,Please indicate the required salary you are seeking for this position.,"70,000"
256,122,40,Please indicate the required salary you are seeking for this position.,65000
851,20,80,How many years of experience do you have working with SQL?,2 to 3 years
547,101,80,Are you legally able to work in Canada?,Yes
1003,83,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
465,65,50,Are you comfortable with statistical analysis?,Yes
750,17,50,Are you legally able to work in Canada?,Yes
763,44,80,How many years of experience do you have working with SQL?,2 to 3 years
81,122,40,Are you legally able to work in Canada?,Yes
177,2,90,Are you comfortable with statistical analysis?,Yes
319,33,90,How many years of experience do you have working with SQL?,4+ years
775,55,80,Please indicate the required salary you are seeking for this position.,70000
673,8,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
767,61,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
57,136,70,Are you comfortable with statistical analysis?,Yes
616,70,90,Are you comfortable with statistical analysis?,Yes
529,124,60,Please indicate the required salary you are seeking for this position.,45000
845,23,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1059,114,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
791,21,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
11,18,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
893,117,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1046,17,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
450,104,50,Are you comfortable with statistical analysis?,Yes
854,6,30,Are you comfortable with statistical analysis?,Yes
448,101,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
242,40,45,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",No
477,121,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
519,78,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
485,108,90,Please indicate the required salary you are seeking for this position.,"100,000 CAD"
29,18,90,Are you comfortable with statistical analysis?,Yes
86,68,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
96,82,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
487,36,90,How many years of experience do you have working with SQL?,2 to 3 years
593,16,70,Please indicate the required salary you are seeking for this position.,$70/hr
744,114,90,How many years of experience do you have working with SQL?,4+ years
1037,62,70,Please indicate the required salary you are seeking for this position.,70000
348,68,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
530,110,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
954,6,30,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",No
591,60,60,Are you comfortable with statistical analysis?,Yes
315,105,80,Are you comfortable with statistical analysis?,Yes
473,129,100,Are you legally able to work in Canada?,Yes
62,132,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
404,132,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
781,50,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
306,54,80,Are you comfortable with statistical analysis?,Yes
175,120,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
118,104,50,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
249,135,90,Are you legally able to work in Canada?,Yes
82,39,60,How many years of experience do you have working with SQL?,0 to 1 year
493,45,100,Are you legally able to work in Canada?,Yes
193,130,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
719,17,50,What is your self-determined level of expertise in Microsoft Excel?,Expert
1085,83,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
158,135,90,Are you comfortable with statistical analysis?,Yes
466,33,90,Are you legally able to work in Canada?,Yes
971,63,100,Please indicate the required salary you are seeking for this position.,85000
614,41,100,How many years of experience do you have working with SQL?,4+ years
1032,19,100,How many years of experience do you have working with SQL?,4+ years
788,21,80,Are you comfortable with statistical analysis?,Yes
185,1,90,Please indicate the required salary you are seeking for this position.,$80000
329,122,40,How many years of experience do you have working with SQL?,0 to 1 year
747,50,80,Are you comfortable with statistical analysis?,Yes
1040,53,100,Please indicate the required salary you are seeking for this position.,80000
1042,94,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
933,43,100,How many years of experience do you have preparing statistical analysis?,4+ years
221,38,80,Are you comfortable with statistical analysis?,Yes
206,97,60,How many years of experience do you have working with SQL?,4+ years
938,113,100,Are you comfortable with statistical analysis?,Yes
417,22,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
964,89,60,Are you legally able to work in Canada?,Yes
195,125,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
73,120,50,Please indicate the required salary you are seeking for this position.,"$60,000"
408,136,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
861,81,100,How many years of experience do you have preparing statistical analysis?,4+ years
66,22,80,Please indicate the required salary you are seeking for this position.,95000
162,133,50,How many years of experience do you have working with SQL?,4+ years
479,134,100,Please indicate the required salary you are seeking for this position.,90000
1015,75,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
1052,73,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
898,73,80,How many years of experience do you have working with SQL?,2 to 3 years
1053,96,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
92,60,60,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
289,24,100,How many years of experience do you have working with SQL?,4+ years
958,31,80,Are you comfortable with statistical analysis?,Yes
1090,66,90,Please indicate the required salary you are seeking for this position.,75000
714,93,100,Please indicate the required salary you are seeking for this position.,"85,000"
