,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
617,155,95,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
932,30,80,How many years of experience do you have working with SQL?,4+ years
1185,127,90,Are you comfortable with statistical analysis?,Yes
908,102,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1024,110,50,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",No
417,121,50,Please indicate the required salary you are seeking for this position.,"45,000+"
748,78,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
990,100,65,Are you comfortable with statistical analysis?,No
95,84,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
422,96,75,What is your self-determined level of expertise in Microsoft Excel?,Expert
551,149,100,How many years of experience do you have preparing statistical analysis?,4+ years
876,76,80,Please indicate the required salary you are seeking for this position.,90000-95000
1063,39,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
280,153,90,Are you legally able to work in Canada?,Yes
397,22,80,Are you legally able to work in Canada?,Yes
1070,106,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
191,117,95,Are you comfortable with statistical analysis?,Yes
1069,11,100,Are you legally able to work in Canada?,Yes
419,139,60,Please indicate the required salary you are seeking for this position.,"60,000"
603,62,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
967,50,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
372,119,85,How many years of experience do you have preparing statistical analysis?,2 to 3 years
549,117,95,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
931,133,90,Please indicate the required salary you are seeking for this position.,85000
1214,17,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
164,14,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
787,90,90,Are you legally able to work in Canada?,Yes
761,43,80,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
34,9,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
7,113,90,How many years of experience do you have preparing statistical analysis?,4+ years
941,66,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
129,5,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
857,107,80,How many years of experience do you have working with SQL?,2 to 3 years
868,134,80,Are you comfortable with statistical analysis?,Yes
124,117,95,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1026,67,80,Are you comfortable with statistical analysis?,Yes
247,144,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
765,76,80,How many years of experience do you have working with SQL?,2 to 3 years
243,69,70,Please indicate the required salary you are seeking for this position.,110000
1175,136,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
445,109,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1188,126,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1106,43,80,How many years of experience do you have working with SQL?,4+ years
370,31,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
754,151,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
488,8,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
396,60,80,How many years of experience do you have working with SQL?,2 to 3 years
264,130,80,Are you comfortable with statistical analysis?,Yes
1039,57,80,Please indicate the required salary you are seeking for this position.,85000
425,33,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
295,4,50,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
647,147,70,Are you comfortable with statistical analysis?,Yes
611,114,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
544,131,70,How many years of experience do you have working with SQL?,2 to 3 years
204,98,95,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
403,145,50,Are you comfortable with statistical analysis?,Yes
958,133,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
810,100,65,Are you legally able to work in Canada?,Yes
1152,34,90,Please indicate the required salary you are seeking for this position.,"$65000 - $75000 per year, open to discuss"
818,135,50,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
731,45,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
1179,50,100,How many years of experience do you have working with SQL?,4+ years
615,151,100,How many years of experience do you have working with SQL?,4+ years
1123,74,90,How many years of experience do you have preparing statistical analysis?,4+ years
688,14,100,Are you legally able to work in Canada?,Yes
657,33,70,Are you comfortable with statistical analysis?,Yes
448,25,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
811,127,90,Are you legally able to work in Canada?,Yes
968,92,100,How many years of experience do you have working with SQL?,4+ years
174,101,75,Are you comfortable with statistical analysis?,Yes
1027,91,100,How many years of experience do you have working with SQL?,4+ years
1090,15,100,How many years of experience do you have preparing statistical analysis?,4+ years
492,153,90,Please indicate the required salary you are seeking for this position.,65000 - 75000 per year
1092,11,100,How many years of experience do you have working with SQL?,4+ years
1114,64,80,Please indicate the required salary you are seeking for this position.,65000
35,35,80,Are you legally able to work in Canada?,Yes
850,56,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
827,39,100,Please indicate the required salary you are seeking for this position.,90k-95k
840,106,80,Are you comfortable with statistical analysis?,Yes
799,107,80,Please indicate the required salary you are seeking for this position.,70000 - 85000
697,13,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1089,116,70,Are you comfortable with statistical analysis?,Yes
2,113,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
56,44,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
641,103,70,Are you legally able to work in Canada?,Yes
745,83,60,Are you comfortable with statistical analysis?,Yes
541,131,70,Please indicate the required salary you are seeking for this position.,"Based on my current work experience and skillsets that I can bring to the organization, I am looking for a compensation of around 80k-85k"
206,41,70,How many years of experience do you have working with SQL?,2 to 3 years
532,23,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
353,18,70,Are you legally able to work in Canada?,Yes
999,112,90,How many years of experience do you have working with SQL?,2 to 3 years
337,3,80,Please indicate the required salary you are seeking for this position.,60000
796,128,60,Please indicate the required salary you are seeking for this position.,Masters
409,155,95,What is your self-determined level of expertise in Microsoft Excel?,Expert
274,154,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
907,95,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
973,48,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
855,136,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
349,142,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
764,106,80,Are you legally able to work in Canada?,Yes
177,119,85,Are you legally able to work in Canada?,Yes
608,98,95,What is your self-determined level of expertise in Microsoft Excel?,Expert
954,75,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1093,71,100,Please indicate the required salary you are seeking for this position.,80000
684,21,100,How many years of experience do you have preparing statistical analysis?,4+ years
689,94,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
851,48,60,Are you legally able to work in Canada?,Yes
277,84,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
676,49,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
82,154,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
966,52,65,Are you legally able to work in Canada?,Yes
621,5,60,Please indicate the required salary you are seeking for this position.,60000-70000
901,67,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
258,33,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
622,103,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
960,57,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1239,105,100,How many years of experience do you have preparing statistical analysis?,4+ years
272,80,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
646,13,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
502,44,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
606,61,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
365,152,80,Are you legally able to work in Canada?,Yes
173,12,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
26,9,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1008,134,80,Please indicate the required salary you are seeking for this position.,60000
1118,2,60,Are you legally able to work in Canada?,Yes
771,59,90,Please indicate the required salary you are seeking for this position.,Market Rate
1,113,90,Please indicate the required salary you are seeking for this position.,Negotiable
461,156,90,How many years of experience do you have working with SQL?,4+ years
299,103,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
653,142,90,Are you legally able to work in Canada?,Yes
1146,127,90,Please indicate the required salary you are seeking for this position.,90000
1060,58,90,Please indicate the required salary you are seeking for this position.,75000
894,2,60,Please indicate the required salary you are seeking for this position.,50000 CAD per year
38,55,25,Please indicate the required salary you are seeking for this position.,"estimated $100,000 annually"
106,130,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1001,116,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
963,57,80,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1194,48,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
20,55,25,How many years of experience do you have preparing statistical analysis?,0 to 1 year
98,84,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
240,1,80,Please indicate the required salary you are seeking for this position.,60000 - 80000
399,143,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
705,24,100,Please indicate the required salary you are seeking for this position.,75k
863,52,65,Are you comfortable with statistical analysis?,Yes
328,85,95,Please indicate the required salary you are seeking for this position.,90 000
903,110,50,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
493,61,70,How many years of experience do you have working with SQL?,2 to 3 years
78,156,90,Are you legally able to work in Canada?,Yes
36,55,25,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
241,137,100,Are you comfortable with statistical analysis?,Yes
820,2,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
836,118,35,Are you comfortable with statistical analysis?,No
0,113,90,Are you comfortable with statistical analysis?,Yes
437,94,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
847,59,90,How many years of experience do you have working with SQL?,4+ years
1074,30,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
438,3,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
473,61,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
307,140,100,How many years of experience do you have working with SQL?,4+ years
756,103,70,Are you comfortable with statistical analysis?,Yes
969,36,80,Are you legally able to work in Canada?,Yes
936,112,90,How many years of experience do you have preparing statistical analysis?,4+ years
497,156,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
545,96,75,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
33,26,90,Please indicate the required salary you are seeking for this position.,65000
788,27,80,Please indicate the required salary you are seeking for this position.,Negotiable
872,47,90,Are you legally able to work in Canada?,Yes
533,14,100,How many years of experience do you have preparing statistical analysis?,4+ years
411,65,90,Are you comfortable with statistical analysis?,Yes
458,109,80,Are you comfortable with statistical analysis?,Yes
1187,123,70,Please indicate the required salary you are seeking for this position.,"$90,000 CAD"
381,45,90,Please indicate the required salary you are seeking for this position.,65000-75000
211,124,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1085,105,100,How many years of experience do you have working with SQL?,4+ years
823,2,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
237,31,100,How many years of experience do you have working with SQL?,4+ years
1211,100,65,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",No
671,79,80,Are you comfortable with statistical analysis?,Yes
730,84,70,How many years of experience do you have working with SQL?,2 to 3 years
60,65,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
909,90,90,How many years of experience do you have working with SQL?,4+ years
503,53,100,Are you comfortable with statistical analysis?,Yes
1072,105,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
235,150,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
620,114,60,How many years of experience do you have working with SQL?,0 to 1 year
881,107,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
456,119,85,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",No
143,96,75,Are you comfortable with statistical analysis?,Yes
1045,6,75,How many years of experience do you have preparing statistical analysis?,2 to 3 years
215,84,70,Are you comfortable with statistical analysis?,Yes
1204,123,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
579,62,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1056,17,50,Are you legally able to work in Canada?,Yes
595,3,80,How many years of experience do you have working with SQL?,2 to 3 years
558,25,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
683,20,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
548,80,90,How many years of experience do you have working with SQL?,4+ years
67,28,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
377,60,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
454,146,100,Are you comfortable with statistical analysis?,Yes
1208,108,100,Are you legally able to work in Canada?,Yes
1038,27,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
906,32,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
989,56,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
696,20,80,Are you legally able to work in Canada?,Yes
1140,15,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
559,24,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
101,152,80,Are you comfortable with statistical analysis?,Yes
862,47,90,Please indicate the required salary you are seeking for this position.,$60000 to $65000
205,65,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
155,72,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
781,92,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
873,10,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
813,17,50,How many years of experience do you have working with SQL?,0 to 1 year
1242,86,80,How many years of experience do you have working with SQL?,2 to 3 years
1031,108,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
145,5,60,Are you legally able to work in Canada?,Yes
627,51,60,Are you comfortable with statistical analysis?,Yes
244,149,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
769,90,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
86,49,80,Please indicate the required salary you are seeking for this position.,$75000
340,49,80,Are you legally able to work in Canada?,Yes
1191,116,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
115,4,50,Are you legally able to work in Canada?,Yes
455,37,100,Are you comfortable with statistical analysis?,Yes
378,145,50,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
222,89,70,Are you comfortable with statistical analysis?,Yes
