,Candidate Deidentified ID,Education College Deidentified ID,Education Degree Name,Education Degree Type,Education Major,Education Start Date,Education End Date
75,11,55.0,Bachelors Degree,None,Medicine and Surgery,,
848,95,8.0,Bachelors Degree,None,"engineering, Electronics And Telecommunication",,
39,473,29.0,Bachelor of Technology,None,Computer Science,,
416,68,103.0,Master of Business,None,Analytics,2022-05,2023-04
627,216,70.0,Google Data Analytics Professional Certificate Issued,None,,,
1288,537,80.0,Master of Business Administration,Master,Finance and International Business Management,,
326,742,74.0,Bachelor of Technology,None,,2018-07,2021-07
647,605,342.0,Master of Science,Master,Business Analytics,2018-10,2019-12
802,358,400.0,Bachelor of Science,Bachelor,Accountancy,,
160,741,106.0,Bachelor of Economics,Bachelor,,2013-02,2017-10
65,391,48.0,Bachelor of Dental Sciences,None,,2009,2014
863,736,13.0,Master of Engineering,Master,Electrical & Computer Engineering,,
1404,784,329.0,Bachelor of Technology,None,Electronics and Communication,2014-08,2018-05
1326,606,580.0,Associate Degree,None,"Office Management, Executive Assistant",2013,2015
1187,121,482.0,Bachelor of Applied Science,Bachelor,"Engineering, Electronics",2013,2018
929,350,123.0,,None,,notKnown,2023-06
3,725,,,,,,
458,104,38.0,Bachelor of Technology,None,,,
1081,134,493.0,Master of Science,Master,Civil Engineering,,
1204,244,30.0,Graduate Certificate,None,Project Management,2022-09,2023-04
822,570,148.0,Bachelor of Computer Sciences,None,,,
321,388,183.0,Bachelor of Science / BS,None,"Business, Information Technology",,
105,755,35.0,Bachelor of Business Technology Management Program,None,"technology, business",2015,2019
786,652,189.0,Bachelor of Science,Bachelor,POLITICAL SCIENCE,,
265,748,154.0,Bachelor of Computer Applications,None,,,
724,322,356.0,Bachelor of Technology,None,Civil engineering,2014-08,2018-08
715,786,84.0,Post-Graduate Degree,None,Global Business Management,,
1422,505,,,,,,
366,369,203.0,Post-Graduate Certificate,None,Business Analytics,2021-05,2021-12
63,751,46.0,Post-Graduate Degree,None,"Business, Information Systems, Architecture",,
857,771,385.0,Certificate,None,Digital Marketing,,
370,285,205.0,Master of Science,Master,Information Technology and Analytics,,
481,27,14.0,Masters Degree,None,Information,2021-09,2023-05
13,572,12.0,Masters Degree,None,Computer Science,,
1420,546,33.0,Master of Management - Business,None,Data Analytics,,
1020,563,470.0,Master of Science,Master,,,
997,779,12.0,Bachelor of Technology,None,Information Technology,,
591,675,62.0,Bachelors Degree,None,electrical engineering,2013-04,2017-06
681,529,35.0,Bachelor of Arts,Bachelor,,2014,2018
691,686,352.0,,None,Data Science,notKnown,2022
779,239,25.0,Master of Science,Master,"Professional Studies, Analytics",2022-01,2023-06
1310,197,185.0,Bachelor of Science - Computer Science,None,,,
272,82,159.0,Bachelors Degree,None,"Computer, Science & Engineering",,
1297,192,171.0,Post-Graduation Diploma,None,,,
1186,598,79.0,Bachelor of Science,Bachelor,Computer Science,2011,2014
379,214,209.0,Bachelors Degree,None,COMPUTER APPLICATIONS,2015,2018
488,94,33.0,Master of Applied Computing,None,,2022-01,2023-12
548,512,289.0,National Certificate in Engineering Draftsmanship,None,,2000,2001
362,527,200.0,Computer Science Award,None,,,
270,342,157.0,Master of Science,Master,"Information Technology, Management",2013,2014
1097,420,235.0,Post-Graduate Degree,None,,,
1029,189,7.0,Post-Graduate Diploma,None,Business Analytics,2023-05,2023-12
1242,201,8.0,Bachelors of Management Studies,None,,,
71,770,51.0,Master of Science,Master,"Management, Business Analytics",2022-09,2023-12
1273,700,563.0,Bachelors Degree,None,"Engineering, Mechatronics",2016,2020
525,181,155.0,Post-Graduation Certificate in Project Management,None,,,
181,520,120.0,Certificate,None,Science,,
1205,184,121.0,Bachelor of Commerce,Bachelor,"Marketing, Relevant Course",,
1426,271,12.0,Bachelor of Engineering,Bachelor,"Electronics, Telecommunication",2014,2018
8,754,7.0,Post Graduate Diploma,None,Business Analytics,,
387,444,214.0,,None,,2021-09,2023-08
719,328,193.0,Bachelor of Science,Bachelor,"Industrial Engineering, Islamic",,
1179,310,308.0,Post-Graduate Diploma,None,,2022-01,2023-09
601,295,7.0,Graduate Certificate,None,Applied Computer Science & IT,,
584,587,49.0,,None,,2020-09,2021-01
1011,785,332.0,Bachelor's,None,commerce,,
1014,41,468.0,Bachelor of Arts,Bachelor,,2019-09,2020-08
581,698,108.0,Bachelor's,None,Computer Science & Engineering,,
1092,183,501.0,Bachelor of Business Administration,Bachelor,"Major Finance, Minor Marketing",2012-07,2015-04
410,38,223.0,Bachelors Degree,None,Accountancy,2014,2018
1336,347,584.0,Bachelor of Science,Bachelor,Civil Engineering,,
323,694,185.0,Bachelor of Pharmacy,Bachelor,,,
862,577,244.0,Bachelor of Computer Applications,None,Information Technology,,
1126,34,60.0,CERTIFICATE IN DATA ANALYTICS FOR BUSINESS DECISION MAKING,None,,,
996,779,30.0,Post-Graduate Diploma,None,Project Management,,
706,661,13.0,Master of Technology,None,Innovation Management,2022-01,2023-11
780,9,391.0,Bachlor of Science,None,Statistics,2017-09,2022-02
575,465,243.0,Bachelors,None,Electronics & Communications Engineering,,
661,49,115.0,Master of Economic,None,,2018-09,2019-11
850,649,9.0,Certified Business Analysis Professional,None,,,
69,757,37.0,BSC,Bachelor,,,
353,609,197.0,ENGINEER ASSOCIATE,None,,,
587,413,14.0,Bachelor of Science,Bachelor,"Statistics, Economics",,
714,545,362.0,Bachelor of Technology - Information Technology,None,,2017-09,2021-07
855,238,,,,,,
1412,230,527.0,Post-Graduation Diploma,None,Artificial Intelligence and Data Science,,
981,221,60.0,Graduate certificate,None,,2022-09,2023-04
677,372,,,,,,
975,166,462.0,Bachelors Degree,None,Computer Engineering,2017-07,2021-05
498,538,78.0,Master of Engineering,Master,Electrical and Computer Engineering,,
537,684,36.0,Post-Graduate Diploma,None,,2022-01,2022-08
1317,341,177.0,Oracle Certified Foundations Associate,None,,,
1012,756,31.0,Post-Graduate Certificate,None,Business Administration,,
839,402,100.0,Bachelor of Engineering,Bachelor,Electrical and Electronics Engineering,,
497,75,262.0,Masters Degree,None,Information Systems,,
737,60,31.0,Master of Management,Master,Artificial Intelligence,2022-09,2023-08
1433,203,624.0,Bachelor of Commerce,Bachelor,,2015-06,2018-06
513,657,272.0,Bachelor of Science,Bachelor,Electronics and Communications Engineering,2000,2005
873,292,33.0,Master of Engineering,Master,Electrical and Computer Engineering,2022-05,2023-08
1371,286,603.0,Bachelor of Engineering,Bachelor,Information Technology,2012-06,2016-05
383,231,211.0,Diploma,None,,,
1162,279,520.0,Bachelor's Degree,None,Computer Science & Engineering,,
1295,119,569.0,Bachelor of Telecommunications,None,Engineering,2007-09,2012-09
675,349,117.0,BA,Bachelor,"Literature, English",,
34,551,27.0,Bachelors Degree,None,Computer Science and Engineering,2016-08,2020-07
941,763,245.0,Bachelors Degree,None,Electronics and Communication Eng,,
199,112,42.0,Diploma,None,Business Decision Making Program,,
54,561,39.0,Masters Degree,None,Computer Science,2023-09,Present
441,509,207.0,Bachelor of Architecture,Bachelor,,,
782,497,7.0,Post-Graduate Degree,None,"IT, Business Analysis",2021-09,2022-12
161,716,107.0,Bachelor of Science,Bachelor,Computer Science,2017-06,2020-05
197,28,127.0,Bachelor of Arts,Bachelor,"History, Mathematics",2013-09,2017-06
574,410,306.0,Bachelor of Arts,Bachelor,Economics,2012-09,2016-06
586,182,88.0,Bachelors Degree,None,Computer Science and Engineering,2013,2017
483,421,121.0,Bachelor of Engineering,Bachelor,"Software Engineering, Mathematics",,
28,662,23.0,Masters Degree,None,Telecommunication Engineering,,
559,171,,,,,,
1123,718,514.0,Bachelor of Technology,None,Information Technology,2013-06,2017-06
241,327,142.0,Bachelors Degree,None,"Management, Marketing",2014-09,2018-06
246,568,33.0,Master of Applied Computing,None,,2021-05,2022-08
165,787,,,,,,
807,557,403.0,Google Analytics Certification,None,,,
257,738,149.0,Bachelor's degree,None,computer science,,
809,608,14.0,Bachelor of Commerce,Bachelor,"Commerce Finance, Economics",,
1045,386,479.0,Bachelor of Information Technology,None,Business Analytics,,
828,717,,,,,,
803,64,401.0,Bachelors Degree,None,"Science, Statistics, Economics",2018-09,2022-06
116,151,82.0,Bachelor,None,"Science, Electronics",,
1406,7,132.0,Diploma,None,"Aircraft Maintenance, Engineering",,
255,487,3.0,Bachelor of Mathematics,None,,2020-09,2023-12
1164,333,527.0,Post-Graduate Diploma,None,Artificial Intelligence& Data Science,2022-05,2023-12
523,181,277.0,Bachelor of Engineering,Bachelor,Computer Science,2014,2018
1089,334,177.0,BBA,Bachelor,Financial Services,,
1037,428,475.0,Bachelors Degree,None,"Science, Microbiology",,
945,550,16.0,Diploma,None,Business Management,2018-01,2019-08
1276,33,31.0,Bachelor,None,"Health Studies, Health Informatics",,
920,13,441.0,Bachelors Degree,None,Applied Chemistry,1993-09,1997-06
1135,48,519.0,Master of Science,Master,Information Systems Management,2022-09,2023-06
1424,248,,,,,,
733,612,14.0,Bachelor of Science,Bachelor,"Double Major, Economics and Statistics",2017-09,2021-05
351,139,85.0,Bachelor of Commerce,Bachelor,Business Technology Management,,
906,495,140.0,Post Graduate Diploma,None,,,
156,478,105.0,Bachelor of Science,Bachelor,Applied Statistics,,
263,291,100.0,Bachelor of Technology,None,Information Technology,,
173,500,116.0,Bachelor of Engineering,Bachelor,Information Technology,,
602,503,31.0,Master of Management,Master,Artificial Intelligence,2022-09,2023-08
504,676,266.0,Post-Graduate Degree,None,,2021-10,2023-05
960,30,456.0,Master of Science,Master,Business Analytics,2022-07,2023-05
1234,98,551.0,Masters Degree,None,Computer Science Engineering,,
1258,343,558.0,Bachelor of Arts,Bachelor,Communications,2005,2009
166,146,111.0,Bachelors Degree,None,Computer Science,2013-07,2016-06
722,746,367.0,Bachelors Degree,None,Technology - Civil Engineering,,
215,583,134.0,Master of Engineering,Master,Electrical & Computer Engineering,2021-09,2023-01
1398,618,615.0,Bachelor of Science,Bachelor,Chemical Engineering,2013-09,2018-02
124,642,7.0,Ontario College Graduate,None,,,
368,369,17.0,Bachelor of Engineering,Bachelor,,2012-08,2016-05
1419,546,74.0,Bachelor of Engineering - Computer Engineering Courses,None,"Database Management System, Object Oriented Programming, Hibernate, Agile Methodologies, Rest API",,
811,711,404.0,Bachelors Degree,None,Hotel Management,2013-06,2016-05
879,707,425.0,Masters Degree,None,Data Science,2023,2024
465,418,46.0,Post-Graduate Certificate,None,Internet Applications,2018-01,2019-04
137,614,98.0,Master of Science,Master,Management,,
592,14,,,,,,
1024,36,3.0,Bachelor of Mathematics,None,"Double, Actuarial Science & Statistics",2017-09,2022-04
1015,544,7.0,Ontario Graduate Certificate,None,"Big Data, Solutions Architecture",2023-05,2023-12
765,389,33.0,Master of Science,Master,Management,,
64,751,47.0,Bachelor of Technology,None,Information Technology,,
48,431,31.0,Bachelors Degree,None,"Arts, Business Economics",2012-09,2017-04
1125,19,159.0,Bachelors Degree,None,COMPUTER SCIENCE AND ENGINEERING,,
313,251,177.0,Diploma,None,Business,,
1178,310,389.0,Bachelor of Computer Sciences,None,,2015-06,2019-05
334,348,190.0,MSc,Master,Data Science,,
27,740,22.0,Master of Science,Master,"Management, Business Analytics",2017-01,2018-04
79,160,59.0,B.E.,None,Software Engineering,,
1156,24,103.0,Master of Business,None,Analytics,2023-05,2024-04
108,443,49.0,,None,,notKnown,2024-01
1136,113,189.0,Bachelor of Science,Bachelor,Sociology and Anthropology,,
1023,258,,,,,,
1190,147,101.0,Bachelor of Commerce,Bachelor,Business Technology Management,,
729,149,370.0,Bachelor of Technology / CSE,None,,,
711,321,14.0,Bachelor of Commerce,Bachelor,Economics,,
818,84,17.0,Advanced Diploma,None,Information Technology,2012,2016
87,439,62.0,Bachelors Degree,None,"Engineering, Electronics, Communication",2015-08,2019-05
612,170,321.0,Diploma,None,Business,2016-09,2017-06
1182,455,530.0,M. Eng,Master,,,
969,543,459.0,Master of Computing,None,Computer Science,2007,2010
1351,65,594.0,Certificate,None,Machine Learning,,
823,492,14.0,Bachelor of Science,Bachelor,Statistics and Economics,,
992,263,74.0,Bachelors Degree,None,Computer Engineering,2017-07,2021-07
1087,134,499.0,,None,,notKnown,2001
1018,115,416.0,Graduate Certificate,None,Business Analytics,,
1377,301,606.0,Graduate Certification,None,"Business, Entrepreneurship",2018,2019
442,562,239.0,Bachelors Degree,None,Computer Science,,
412,399,224.0,Master of Science,Master,,2016,2017
880,707,426.0,Bachelors Degree,None,"Information Management, Information Technology",2015,2020
787,325,394.0,Master of Mathematics,Master,"Finance, Actuarial Science",2008-09,2010-06
487,94,257.0,Bachelor of Informatics,None,,2015-01,2019-12
37,551,28.0,Bachelor of Engineering,Bachelor,Computer Science,,
1213,759,538.0,,None,,2016,Present
641,772,3.0,Master of Management Sciences,None,,2020-09,2021-12
1284,693,565.0,Bachelor's,None,EDUCATION,,
325,246,51.0,Master of Science,Master,"Management, Business Analytics",2022-09,2023-12
868,268,182.0,Certificate,None,Electrical Techniques,,
844,734,74.0,Master,None,Computer Engineering,,
1339,276,586.0,Bachelor of Science,Bachelor,Computer Science,,
1088,134,494.0,Predictive Analytics Specialization certifications,None,,,
698,58,14.0,Bachelor of Science,Bachelor,"Major Program, Statistics",2017-09,2021-06
912,615,437.0,Certificate,None,Business,,
1278,50,14.0,Bachelor of Science,Bachelor,"Applied Statistics, Math, Computer Science",2019-09,2023-06
881,636,,,,,,
130,217,93.0,Six Sigma Green Belt,None,,,
1161,532,14.0,Bachelor of Science,Bachelor,"Mathematics, Statistics",2019-09,2023-06
640,143,339.0,Bachelor of Technology,None,Electronics and Communications Engineering,2015,2019
1275,261,564.0,MTech,None,Physics,,
1315,747,577.0,Bachelor of Engineering,Bachelor,Computer Engineering,,
80,397,60.0,Certificate: AI Design,None,,,
540,337,78.0,Master of Engineering,Master,,2022-05,2023-12
759,140,246.0,Master of Science,Master,Automation and Control,2017-09,2018-12
1279,655,388.0,BSc.,None,Economics and Finance,,
394,540,78.0,Masters Degree,None,Applied Computer Science,2021-01-03,2022-08
444,562,31.0,Master of Management,Master,Artificial Intelligence,,
131,217,94.0,Post-Graduate Diploma,None,Computer Science,2020,2021
482,106,,,,,,
509,257,99.0,Bachelors Degree,None,"Science, Estate Management",,
1202,244,433.0,Bachelors Degree,None,Electronics and Communication Engineering,2011-07,2015-03
1044,610,477.0,Post-Graduate Diploma,None,Business Analytics,2019-09,2020-07
1119,373,482.0,Masters Degree,None,"Computer Science, Big Data",2021-09,2022-12
931,678,448.0,Bachelor of Civil Engineering,None,,,
253,169,146.0,Master of Science,Master,,2020-01,2021-08
913,360,438.0,,None,,1997-06,1998-04
741,395,84.0,Post-Graduate Diploma,None,Business Analytics,2022-05,2022-12
1098,760,31.0,BA,Bachelor,Economics,,
615,665,324.0,Bachelor of Science,Bachelor,Mathematics and Statistics,2018-09,2022-05
775,501,10.0,Bachelors,None,Computer Science Engineering,,
320,388,182.0,Data Science Certification,None,Major Courses,,
1302,706,3.0,Masters Degree,None,Management Sciences,2021-09,2023-05
146,126,,,,,,
629,216,177.0,Diploma,None,Business Administration,2017-01,2018-04
633,515,336.0,Advanced Business Analysis Certificate,None,,,
1240,464,46.0,Graduate Certificate,None,Business Analysis,2022-05,2023-04
382,231,182.0,Bachelor's of Finance,None,Administration,,
568,270,302.0,Master of Science,Master,"Applied Sciences, Quantitative Methods, Big Data, Analytics",2021-05,2022-08
745,99,376.0,Master of Engineering Science - Computer Science,None,,2020-01,2022-06
67,757,50.0,MBA Project Management,None,,,
638,314,338.0,Bachelor of Technology,None,Mechanical Engineering,2012-08,2016-06
937,453,452.0,Ph.D.,Doctorate,Computer Science,,
1073,531,16.0,Post-Graduate Diploma,None,"Big Data, Analytics",2022-01,2023-08
692,664,165.0,Microsoft Power BI Data Analyst Associate Certification,None,Chemistry,,
337,148,191.0,Bachelor of Science,Bachelor,,2012-05,2015-07
293,127,,,,,,
297,340,171.0,Graduate Certificate in Project Management,None,,,
11,96,10.0,B.E,None,,,
648,605,343.0,Master of Science,Master,Strategic Marketing,2013-09,2015-06
1281,655,388.0,Bachelor of Science,Bachelor,Economics,1960-03,2000-03
1230,83,547.0,Master of Computing,None,,,
1248,472,555.0,Bachelor of Computer Applications,None,,2011-08,2014-05
479,290,,,,,,
704,743,358.0,Masters Degree,None,Information Systems,2018-08-06,2019-12
660,575,74.0,Masters Degree,None,Data Science and Big-Data Analytics,2014-06,2018-05
840,441,413.0,Bachelor of Technology,None,Education,,
396,723,,,,,,
141,215,14.0,BSc,Bachelor,Physics,,
990,87,7.0,Project Management,None,,,
736,60,252.0,Bachelor of Commerce,Bachelor,Finance,2018-09,2022-06
1312,76,252.0,Masters,None,computer science,,
1193,167,74.0,Bachelor of Engineering,Bachelor,Computer Engineering,2016-07,2020-08
347,32,74.0,Bachelors Degree,None,"Engineering, Information Technology",2016-08,2020-08
898,40,121.0,Master of Finance,None,EDUCATION,2020-09,2022-06
662,49,31.0,Bachelors Degree,None,Business and Finance Economics,2014-09,2018-04
188,247,7.0,graduate in Information Technology,None,,2022,2023
109,443,77.0,Bachelor of Engineering,Bachelor,Computer Science Engineering,2015,2019
401,729,16.0,Post-Graduate Diploma,None,Cloud Computing for Big Data,2021,2022
1338,89,585.0,Bachelor of Science,Bachelor,"ELECTRONIC ENGINEERING, Government",,
1327,363,581.0,Master of Science,Master,IT Management,2006-10,2009-02
928,350,90.0,MBA,Master,Marketing Management,,
1306,265,,,,,,
1358,656,84.0,Graduate Certificate,None,Business Analytics,2023-05,2023-12
1175,172,528.0,Master of Science,Master,Finance and Management,2017-06,2018-06
1079,316,492.0,Master of Business Administration,Master,Business Intelligence,2018-06,2020-05
230,86,138.0,Master of Business Administration,Master,EDUCATION,,
244,305,143.0,Master of Business Administration,Master,,2017-06,2019-02
400,729,220.0,Bachelors Degree,None,"IT, Computer Science",2013,2018
430,591,7.0,Graduate Certificate in Business Analytics,None,,,
428,528,31.0,Master of Management,Master,Artificial Intelligence,2021-09,2022-08
520,185,275.0,,None,,2021-01,2021-05
1206,306,33.0,Masters,None,Computer Science,,
1207,306,534.0,Bachelors,None,Computer Science,,
210,629,,,,,,
1171,20,101.0,Bachelor of Commerce,Bachelor,Business Technology Management,2017-09,2022-05
1383,209,609.0,Bachelor of Technology,None,,2015-08,2018-06
652,677,176.0,Bachelor of Computing,None,,2018-09,2022-05
38,551,16.0,Post-Graduate Diploma,None,Artificial Intelligence And Machine Learning,,
1219,759,540.0,,None,,2011,Present
1321,288,,,,,,
233,224,108.0,Bachelor of Technology,None,Engineering,,
339,613,193.0,Bachelor of Science,Bachelor,Computer Software Engineering,,
688,85,350.0,Bachelor of Engineering,Bachelor,Industrial,2016-08,2020-10
701,1,357.0,Bachelor of Engineering - Computer Science and Engineering,None,,2017-08,2021-08
1112,90,,,,,,
314,436,178.0,Bachelor of Arts,Bachelor,Psychology,2018-09,2022-06
1143,750,47.0,Bachelor of Technology,None,Information Technology,,
363,552,201.0,Bachelor of Science,Bachelor,PSYCHOLOGY,2009,2013
956,368,196.0,Master of Business Administration,Master,Human Resource Management,,
1064,589,485.0,Entry Certificate in Business Analysis,None,,,
142,215,101.0,M.A,None,International Economics and Finance,,
1366,712,17.0,Bachelor of Engineering,Bachelor,Mechanical Engineering,,
338,613,192.0,Master's Degree,None,IT Engineering,,
825,262,407.0,Won Directors Award,None,,,
841,441,414.0,Masters,None,Supply chain management,,
1128,569,515.0,Bachelor's,None,computer science engineering,,
783,510,392.0,Bachelor of Arts,Bachelor,Economics and Statistics,,
1152,324,218.0,Level 2,None,Business Analysis,,
1117,313,513.0,Bachelor of Science - Computer Science,None,,2012-06,2015-07
747,260,297.0,Bachelor of Computer Applications,None,Computer and Information Sciences,,
800,377,297.0,Bachelor of Science,Bachelor,,,
833,253,14.0,Master of Engineering,Master,Industrial Engineering,2016-09,2017-11
1134,48,14.0,Bachelor of Science,Bachelor,Statistics,2017-09,2021-11
384,91,78.0,Master of Engineering / M.Eng.,None,Software Engineering,,
1103,514,121.0,Bachelor of Science,Bachelor,Life Sciences,,
1208,759,31.0,Bachelor of Science,Bachelor,,2007,2012
883,681,427.0,Bachelor of Engineering,Bachelor,Electrical Engineering,2013-09,2017-07
914,360,439.0,Bachelor of Commerce,Bachelor,,2000-06,2003-04
1149,351,524.0,ICAgile Certified Professional,None,,,
606,398,31.0,Diploma,None,,,
849,277,85.0,Master of Science,Master,Electrical Engineering,,
1259,343,235.0,Graduate Certificate,None,Business,2022,2023
639,143,7.0,Post-Graduate Diploma,None,,2021,2022
261,576,152.0,Bachelor of Technology,None,Electronics and Communication Engineering,,
1354,267,,,,,,
526,181,277.0,Bachelors Degree,None,Electronics Engineering,,
579,273,14.0,Bachelor of Science,Bachelor,"Machine Learning, Data Analytics",2019-09,2023-06
768,97,386.0,Bachelor of Science,Bachelor,Computer Science,,
242,560,14.0,Master of Science,Master,Statistics,2021-09,2023-05
1367,311,338.0,Bachelor of Engineering,Bachelor,Computer Science and Engineering,2009-06,2013-06
128,188,91.0,Master of Business Administration,Master,,2015-08,2017-06
139,178,100.0,Bachelor of Engineering,Bachelor,Electrical and Electronics Engineering,2011-06,2015-04
7,602,6.0,Master of Science,Master,Earth and Atmospheric Science,2016-01,2022-03
1264,490,559.0,Bachelor of Technology,None,Computer Engineering,2014-08,2018-04
1413,230,236.0,Bachelor of Technology,None,Computer Science and Engineering,,
1232,83,549.0,SAS,None,"Analytics, Business Intelligence",,
1008,785,7.0,Supply Chain Management,None,Global,,
23,616,20.0,Bachelor of Science,Bachelor,Business Management,,
541,297,,,,,,
275,345,98.0,Master of Science,Master,Criminology,2015,2017
589,566,108.0,Bachelors,None,Electronics & Communication Engineering,,
979,131,,,,,,
585,587,31.0,Bachelor of Economics,Bachelor,"Digital Marketing, Social Media, Marketing",2011-09,2015-05
298,338,3.0,BACHELOR OF SCIENCE,Bachelor,BIOCHEMISTRY,,
440,509,238.0,Master of Business Administration,Master,,,
294,340,170.0,Bachelor of Engineering,Bachelor,Electronics and Communication,2009,2013
434,626,31.0,Bachelor of Business Administration,Bachelor,,,
576,312,14.0,Data Analytics and Visualization Certification,None,,2022-08,2023-02
567,270,100.0,B. Tech,None,Information Technology,,
1389,705,108.0,Bachelors,None,Computer Science Engineering,,
1253,499,244.0,Bachelor's Degree,None,,,
1415,788,370.0,Bachelor of Technology / CSE,None,,,
1086,134,498.0,,None,Accounting,,
1115,180,429.0,Bachelor of Pharmacy,Bachelor,"Pharmaceutical Chemistry, Clinical Pharmacy, Community Pharmacy, Pharmaceutical Biostatistics",2016-06,2019-05
354,609,182.0,Data Analytics Certification Bootcamp,None,,,
40,473,30.0,Graduate Certificate in Business Intelligence System Infrastructure,None,,,
1218,759,14.0,NSERC CREATE Training Program,None,Arctic Atmospheric Science,2012-05,2012-08
158,44,31.0,Master of Finance Program,None,,,
531,535,279.0,Certified Scrum Master,None,,,
1041,460,51.0,Master of Science,Master,"Statistics, First-tier",2021-09,2023-06
406,107,3.0,Bachelor,None,Applied Science - Computer Engineering,,
976,80,155.0,Post-Graduate Diploma,None,"Big Data, Analytics",2022-05,2022-12
227,272,137.0,IEP,None,,2016-06,2016-07
838,402,412.0,Master of Science,Master,Industrial and Systems Engineering,,
1068,451,,,,,,
143,619,102.0,Bachelor of Science,Bachelor,Statistics,2005-09,2009-12
1150,324,8.0,Bachelors Degree,None,,2011-05,2015-05
41,574,31.0,Bachelor of Science,Bachelor,Computer Science,2019,2024
578,109,,,,,,
555,523,294.0,Bachelor of Management,None,,2012-09,2016-06
1084,134,496.0,CA,None,,2009,2013
218,77,33.0,Master of Engineering,Master,,2021-09,2023-01
1031,416,,,,,,
1325,606,84.0,Certificate Program,None,,,
499,538,263.0,Bachelor of Technology,None,Electrical and Electronics Engineering,,
386,588,213.0,Master of Business Administration,Master,Marketing,,
474,114,14.0,Data Analytics and Visualization Certificate,None,,2021-04,2021-09
632,515,335.0,Advanced Business Analysis Certificate,None,,,
897,40,49.0,,None,,notKnown,2024
758,105,74.0,Bachelor of Engineering,Bachelor,Computer Engineering,2016-06,2020-08
411,38,91.0,Master of Business Administration (MBA),None,,,
213,583,49.0,,None,,notKnown,2023
490,213,259.0,Masters Degree,None,computer science,2021-09,2023-04
