,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
64,70,85,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1720,160,100,Are you legally able to work in Canada?,Yes
1094,85,95,Are you legally able to work in Canada?,No
1284,173,60,Are you comfortable with statistical analysis?,Yes
1215,137,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1603,101,100,Are you legally able to work in Canada?,Yes
1735,135,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
773,60,80,Are you comfortable with statistical analysis?,Yes
1185,163,100,How many years of experience do you have working with SQL?,4+ years
57,124,90,Are you legally able to work in Canada?,Yes
122,122,80,How many years of experience do you have working with SQL?,2 to 3 years
1397,173,60,Please indicate the required salary you are seeking for this position.,As per company notms
1608,98,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
357,8,90,Please indicate the required salary you are seeking for this position.,"95,000p"
83,65,50,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",No
748,148,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
262,157,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
1458,195,100,Are you comfortable with statistical analysis?,Yes
1071,9,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1744,94,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
764,222,70,Please indicate the required salary you are seeking for this position.,as per 2022 market salary
818,81,80,Are you legally able to work in Canada?,Yes
1174,167,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1546,162,90,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1049,105,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
553,176,100,How many years of experience do you have preparing statistical analysis?,4+ years
309,125,80,Are you legally able to work in Canada?,Yes
1652,179,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",No
630,95,50,How many years of experience do you have working with SQL?,0 to 1 year
1757,79,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1001,14,90,Please indicate the required salary you are seeking for this position.,105000
1495,117,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1749,52,60,Are you legally able to work in Canada?,Yes
1767,165,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
734,121,50,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1578,17,100,How many years of experience do you have preparing statistical analysis?,4+ years
160,148,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1466,150,80,How many years of experience do you have working with SQL?,4+ years
729,225,80,Are you legally able to work in Canada?,Yes
887,59,80,How many years of experience do you have working with SQL?,2 to 3 years
1628,179,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
505,53,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
354,110,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
430,35,70,Please indicate the required salary you are seeking for this position.,65000
896,69,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1228,50,50,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
561,10,80,Are you legally able to work in Canada?,Yes
4,24,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
611,59,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
125,35,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
802,5,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
540,205,70,Please indicate the required salary you are seeking for this position.,"80,000 - 85,000$"
546,175,55,Are you legally able to work in Canada?,No
905,78,80,How many years of experience do you have working with SQL?,2 to 3 years
1385,117,70,Are you legally able to work in Canada?,Yes
1563,115,80,How many years of experience do you have working with SQL?,4+ years
871,214,90,How many years of experience do you have working with SQL?,4+ years
877,180,80,How many years of experience do you have working with SQL?,2 to 3 years
1485,140,40,Are you comfortable with statistical analysis?,Yes
1465,127,100,Please indicate the required salary you are seeking for this position.,70000+ Bonus
1490,87,80,Please indicate the required salary you are seeking for this position.,45000
1351,174,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",No
327,130,70,How many years of experience do you have working with SQL?,2 to 3 years
1730,168,75,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
856,122,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1460,162,90,How many years of experience do you have preparing statistical analysis?,4+ years
1499,15,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
968,185,85,Are you legally able to work in Canada?,No
601,199,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1306,67,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1745,76,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
1063,135,90,Are you legally able to work in Canada?,Yes
130,148,60,How many years of experience do you have working with SQL?,0 to 1 year
1220,188,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
772,92,90,Please indicate the required salary you are seeking for this position.,"35-45,000$"
1548,142,100,How many years of experience do you have preparing statistical analysis?,4+ years
1781,172,90,Are you legally able to work in Canada?,Yes
1237,9,100,Please indicate the required salary you are seeking for this position.,90000
211,103,100,How many years of experience do you have working with SQL?,4+ years
1378,17,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1371,193,100,How many years of experience do you have working with SQL?,4+ years
1758,32,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
933,200,100,How many years of experience do you have working with SQL?,4+ years
86,209,85,How many years of experience do you have preparing statistical analysis?,4+ years
184,19,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1384,17,100,Please indicate the required salary you are seeking for this position.,80000
900,90,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
1640,79,80,Please indicate the required salary you are seeking for this position.,85000
531,175,55,Are you comfortable with statistical analysis?,Yes
447,222,70,Are you legally able to work in Canada?,Yes
859,82,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
978,1,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
985,13,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1742,89,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1501,80,90,How many years of experience do you have working with SQL?,4+ years
1621,138,100,Are you legally able to work in Canada?,Yes
253,61,80,How many years of experience do you have working with SQL?,2 to 3 years
48,42,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
255,175,55,Please indicate the required salary you are seeking for this position.,CAD 100000 per annum
1016,14,90,Are you legally able to work in Canada?,Yes
1133,72,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1359,154,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
572,13,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
247,92,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1252,74,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
223,10,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
116,26,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
12,24,80,How many years of experience do you have working with SQL?,2 to 3 years
330,130,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
441,4,75,How many years of experience do you have preparing statistical analysis?,4+ years
1700,33,80,Please indicate the required salary you are seeking for this position.,70000
487,47,60,Are you legally able to work in Canada?,Yes
603,60,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
843,185,85,What is your self-determined level of expertise in Microsoft Excel?,Expert
1723,187,30,Please indicate the required salary you are seeking for this position.,50000
69,124,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
847,152,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1486,188,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1111,108,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
568,122,80,Are you legally able to work in Canada?,Yes
1101,102,100,Are you legally able to work in Canada?,Yes
78,83,60,Please indicate the required salary you are seeking for this position.,"75,000"
181,225,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
629,202,40,How many years of experience do you have working with SQL?,0 to 1 year
743,55,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
153,196,100,How many years of experience do you have preparing statistical analysis?,4+ years
503,157,90,Are you comfortable with statistical analysis?,Yes
1382,117,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
21,37,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
436,30,80,Are you comfortable with statistical analysis?,Yes
1629,64,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1792,170,100,Are you comfortable with statistical analysis?,Yes
977,213,90,How many years of experience do you have preparing statistical analysis?,4+ years
1404,117,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
628,41,60,Please indicate the required salary you are seeking for this position.,"$68,000CAD per year"
1348,115,80,Are you legally able to work in Canada?,Yes
333,68,100,Are you legally able to work in Canada?,Yes
1374,151,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
227,22,80,How many years of experience do you have working with SQL?,4+ years
662,29,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
551,65,50,Please indicate the required salary you are seeking for this position.,"$65,000"
587,1,100,How many years of experience do you have working with SQL?,4+ years
1497,64,70,Are you legally able to work in Canada?,Yes
1679,113,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1158,147,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
653,111,90,How many years of experience do you have working with SQL?,2 to 3 years
353,121,50,Please indicate the required salary you are seeking for this position.,$65000
593,194,100,Are you comfortable with statistical analysis?,Yes
1291,190,80,Are you comfortable with statistical analysis?,Yes
306,77,80,Are you legally able to work in Canada?,Yes
1520,181,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
765,219,80,Are you comfortable with statistical analysis?,Yes
136,16,100,Please indicate the required salary you are seeking for this position.,"$95,000"
1431,100,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
649,91,80,Are you legally able to work in Canada?,Yes
567,121,50,How many years of experience do you have working with SQL?,0 to 1 year
878,112,60,Please indicate the required salary you are seeking for this position.,5000
1332,113,80,How many years of experience do you have working with SQL?,2 to 3 years
71,37,50,Please indicate the required salary you are seeking for this position.,80000
612,134,70,Are you comfortable with statistical analysis?,Yes
950,202,40,Please indicate the required salary you are seeking for this position.,"$60,000/yr"
617,68,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1598,128,90,Are you comfortable with statistical analysis?,Yes
812,77,80,How many years of experience do you have working with SQL?,4+ years
1183,129,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1239,100,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1373,85,95,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1181,32,80,Are you comfortable with statistical analysis?,Yes
1082,80,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
732,34,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
639,186,60,Please indicate the required salary you are seeking for this position.,85000
2,132,50,Are you comfortable with statistical analysis?,No
238,20,60,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1264,168,75,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
547,95,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
975,216,100,How many years of experience do you have preparing statistical analysis?,4+ years
1669,28,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1508,190,80,How many years of experience do you have working with SQL?,2 to 3 years
1575,9,100,Are you legally able to work in Canada?,Yes
1614,87,80,Are you comfortable with statistical analysis?,Yes
814,196,100,Please indicate the required salary you are seeking for this position.,$80000-$90000
1528,113,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1200,119,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1545,172,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
317,84,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
656,20,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1156,179,60,Are you legally able to work in Canada?,No
674,18,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
599,18,90,Are you comfortable with statistical analysis?,Yes
290,56,65,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
41,73,70,Are you legally able to work in Canada?,Yes
1245,136,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
249,61,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1055,119,60,Are you comfortable with statistical analysis?,Yes
1358,49,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
1389,133,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1272,63,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
620,12,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
233,209,85,What is your self-determined level of expertise in Microsoft Excel?,Expert
1029,211,70,Please indicate the required salary you are seeking for this position.,65000
1631,170,100,How many years of experience do you have preparing statistical analysis?,4+ years
1464,147,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1732,193,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1221,123,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
770,213,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
942,198,55,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",No
935,109,90,Please indicate the required salary you are seeking for this position.,"$80,000/Annum"
341,191,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
452,177,75,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1274,48,80,Are you comfortable with statistical analysis?,Yes
1751,128,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1154,172,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1088,17,100,Are you comfortable with statistical analysis?,Yes
230,110,80,Please indicate the required salary you are seeking for this position.,130000
1695,145,100,How many years of experience do you have preparing statistical analysis?,4+ years
1527,189,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1743,131,45,How many years of experience do you have working with SQL?,0 to 1 year
1275,93,80,Please indicate the required salary you are seeking for this position.,75000-85000
605,99,100,How many years of experience do you have working with SQL?,4+ years
1343,156,80,Are you legally able to work in Canada?,Yes
470,41,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1574,135,90,Are you comfortable with statistical analysis?,Yes
1593,135,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
345,225,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1138,162,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1126,137,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
1535,184,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1585,138,100,Please indicate the required salary you are seeking for this position.,70000
464,220,70,Are you comfortable with statistical analysis?,Yes
526,30,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
908,202,40,Are you legally able to work in Canada?,Yes
932,152,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
388,207,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
640,183,50,How many years of experience do you have working with SQL?,2 to 3 years
331,44,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
198,59,80,Please indicate the required salary you are seeking for this position.,95000
1691,89,80,Are you legally able to work in Canada?,Yes
1231,17,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
54,73,70,How many years of experience do you have preparing statistical analysis?,0 to 1 year
202,81,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
232,84,80,Are you comfortable with statistical analysis?,Yes
97,5,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
62,45,60,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1472,166,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1747,159,90,Are you comfortable with statistical analysis?,Yes
94,146,90,Are you legally able to work in Canada?,Yes
443,11,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
671,219,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
797,13,80,How many years of experience do you have working with SQL?,2 to 3 years
1159,100,70,Are you legally able to work in Canada?,Yes
70,70,85,Are you legally able to work in Canada?,No
418,14,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
215,43,100,Please indicate the required salary you are seeking for this position.,80000
16,42,100,Are you legally able to work in Canada?,Yes
421,3,100,Please indicate the required salary you are seeking for this position.,95000
592,176,100,How many years of experience do you have working with SQL?,4+ years
1369,174,70,Please indicate the required salary you are seeking for this position.,85000
363,3,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
621,22,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
795,212,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
698,130,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1727,72,100,Are you legally able to work in Canada?,Yes
296,164,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
143,84,80,Please indicate the required salary you are seeking for this position.,55000
361,8,90,How many years of experience do you have working with SQL?,4+ years
570,65,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
268,225,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1268,106,85,How many years of experience do you have preparing statistical analysis?,2 to 3 years
209,62,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
305,23,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1361,161,95,Are you legally able to work in Canada?,Yes
861,12,60,How many years of experience do you have working with SQL?,2 to 3 years
1707,187,30,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1355,96,90,How many years of experience do you have working with SQL?,4+ years
1334,50,50,Please indicate the required salary you are seeking for this position.,$70000
563,224,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1033,38,80,How many years of experience do you have working with SQL?,4+ years
13,24,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
713,92,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1028,223,90,Are you legally able to work in Canada?,Yes
1386,161,95,How many years of experience do you have preparing statistical analysis?,4+ years
312,18,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
444,78,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
1657,98,100,Please indicate the required salary you are seeking for this position.,1
47,45,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1310,143,100,How many years of experience do you have preparing statistical analysis?,4+ years
1128,33,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
55,37,50,Are you legally able to work in Canada?,Yes
1780,133,100,How many years of experience do you have working with SQL?,4+ years
